Frame,x,y
0,0.996,0.972
1,1.0,0.978
2,0.993,0.989
3,0.993,0.989
4,0.996,0.972
5,0.996,0.978
6,0.996,0.983
7,0.996,0.978
8,0.993,0.978
9,0.993,0.978
10,0.993,0.978
11,0.993,0.978
12,0.993,0.983
13,0.985,0.994
14,0.985,0.994
15,0.981,1.0
16,0.967,1.0
17,0.948,0.994
18,0.926,0.989
19,0.911,0.983
20,0.885,0.983
21,0.855,0.972
22,0.833,0.966
23,0.81,0.972
24,0.796,0.966
25,0.777,0.961
26,0.755,0.961
27,0.736,0.961
28,0.714,0.966
29,0.699,0.978
30,0.68,0.978
31,0.662,0.983
32,0.643,0.983
33,0.617,0.994
34,0.595,0.994
35,0.58,0.994
36,0.561,1.0
37,0.546,1.0
38,0.546,1.0
39,0.524,0.994
40,0.494,0.989
41,0.435,0.983
42,0.416,0.983
43,0.401,0.983
44,0.401,0.983
45,0.375,0.972
46,0.346,0.978
47,0.323,0.972
48,0.312,0.972
49,0.297,0.961
50,0.264,0.938
51,0.216,0.904
52,0.19,0.882
53,0.178,0.865
54,0.167,0.831
55,0.149,0.803
56,0.123,0.775
57,0.097,0.736
58,0.082,0.691
59,0.067,0.646
60,0.056,0.607
61,0.045,0.567
62,0.037,0.534
63,0.026,0.506
64,0.022,0.472
65,0.015,0.438
66,0.011,0.41
67,0.015,0.382
68,0.015,0.354
69,0.007,0.32
70,0.004,0.287
71,0.0,0.253
72,0.0,0.253
73,0.004,0.23
74,0.004,0.202
75,0.007,0.174
76,0.011,0.152
77,0.004,0.124
78,0.004,0.107
79,0.004,0.107
80,0.004,0.09
81,0.0,0.079
82,0.0,0.062
83,0.0,0.045
84,0.0,0.028
85,0.004,0.017
86,0.007,0.011
87,0.007,0.0
88,0.004,0.006
89,0.004,0.011
90,0.004,0.011
91,0.0,0.011
92,0.0,0.011
93,0.0,0.006
94,0.0,0.011
95,0.0,0.011
96,0.0,0.011
97,0.0,0.011
98,0.0,0.017
99,0.0,0.017
