Frame,x,y
0,0.993,0.865
1,0.993,0.865
2,0.993,0.876
3,0.993,0.876
4,1.0,0.876
5,1.0,0.876
6,1.0,0.876
7,0.997,0.882
8,0.997,0.888
9,0.997,0.882
10,0.997,0.882
11,0.997,0.888
12,0.997,0.888
13,0.993,0.893
14,0.99,0.888
15,0.99,0.893
16,0.98,0.899
17,0.976,0.899
18,0.973,0.904
19,0.966,0.91
20,0.959,0.916
21,0.949,0.921
22,0.939,0.933
23,0.925,0.944
24,0.925,0.944
25,0.908,0.949
26,0.885,0.955
27,0.878,0.961
28,0.864,0.966
29,0.847,0.966
30,0.831,0.972
31,0.831,0.972
32,0.814,0.966
33,0.793,0.966
34,0.773,0.972
35,0.753,0.966
36,0.732,0.972
37,0.715,0.972
38,0.698,0.966
39,0.681,0.972
40,0.658,0.978
41,0.634,0.983
42,0.617,0.994
43,0.603,1.0
44,0.586,1.0
45,0.563,1.0
46,0.536,0.994
47,0.519,1.0
48,0.505,0.994
49,0.485,0.989
50,0.458,0.989
51,0.42,0.978
52,0.39,0.961
53,0.356,0.938
54,0.315,0.916
55,0.285,0.893
56,0.261,0.876
57,0.241,0.86
58,0.224,0.831
59,0.224,0.831
60,0.203,0.803
61,0.183,0.781
62,0.153,0.73
63,0.146,0.702
64,0.129,0.674
65,0.129,0.674
66,0.119,0.646
67,0.115,0.618
68,0.105,0.607
69,0.095,0.579
70,0.085,0.545
71,0.078,0.511
72,0.064,0.478
73,0.051,0.449
74,0.047,0.427
75,0.044,0.404
76,0.037,0.371
77,0.031,0.331
78,0.024,0.309
79,0.02,0.275
80,0.014,0.242
81,0.014,0.219
82,0.007,0.191
83,0.003,0.163
84,0.003,0.135
85,0.007,0.118
86,0.007,0.084
87,0.007,0.073
88,0.007,0.056
89,0.007,0.045
90,0.007,0.028
91,0.007,0.022
92,0.003,0.011
93,0.003,0.011
94,0.0,0.006
95,0.0,0.006
96,0.003,0.006
97,0.003,0.006
98,0.007,0.0
99,0.007,0.006
