Frame,x,y
0,0.996,0.892
1,0.996,0.892
2,0.996,0.9
3,0.996,0.9
4,1.0,0.892
5,0.996,0.908
6,1.0,0.9
7,1.0,0.9
8,1.0,0.9
9,1.0,0.9
10,0.996,0.908
11,1.0,0.9
12,0.996,0.9
13,0.996,0.908
14,1.0,0.9
15,0.996,0.9
16,0.996,0.908
17,0.989,0.908
18,0.981,0.908
19,0.978,0.915
20,0.966,0.915
21,0.959,0.923
22,0.948,0.931
23,0.929,0.931
24,0.918,0.938
25,0.91,0.938
26,0.896,0.938
27,0.873,0.938
28,0.854,0.946
29,0.843,0.938
30,0.843,0.938
31,0.832,0.954
32,0.791,0.938
33,0.769,0.946
34,0.757,0.938
35,0.754,0.962
36,0.743,0.969
37,0.743,0.969
38,0.724,0.969
39,0.698,0.962
40,0.679,0.962
41,0.664,0.977
42,0.653,0.985
43,0.638,0.985
44,0.619,0.992
45,0.604,1.0
46,0.586,0.992
47,0.541,0.977
48,0.5,0.969
49,0.455,0.962
50,0.429,0.946
51,0.399,0.946
52,0.366,0.938
53,0.336,0.938
54,0.31,0.915
55,0.291,0.915
56,0.272,0.908
57,0.257,0.892
58,0.246,0.877
59,0.235,0.862
60,0.224,0.823
61,0.213,0.792
62,0.198,0.769
63,0.19,0.738
64,0.175,0.7
65,0.175,0.7
66,0.153,0.662
67,0.134,0.623
68,0.108,0.554
69,0.101,0.523
70,0.093,0.492
71,0.093,0.492
72,0.082,0.469
73,0.075,0.438
74,0.067,0.4
75,0.063,0.362
76,0.056,0.338
77,0.049,0.308
78,0.041,0.277
79,0.037,0.246
80,0.034,0.223
81,0.034,0.2
82,0.03,0.169
83,0.022,0.146
84,0.019,0.123
85,0.015,0.108
86,0.011,0.085
87,0.011,0.077
88,0.007,0.062
89,0.004,0.046
90,0.0,0.038
91,0.004,0.031
92,0.004,0.023
93,0.0,0.008
94,0.0,0.008
95,0.004,0.0
96,0.004,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
