Frame,x,y
1,0.933,0.079
2,0.933,0.098
3,0.934,0.122
4,0.934,0.146
5,0.934,0.165
6,0.933,0.173
7,0.931,0.17
8,0.929,0.163
9,0.929,0.159
10,0.931,0.164
11,0.937,0.188
12,0.945,0.23
13,0.956,0.286
14,0.967,0.353
15,0.977,0.426
16,0.985,0.502
17,0.99,0.574
18,0.995,0.638
19,0.998,0.687
20,1.0,0.718
21,1.0,0.727
22,1.0,0.723
23,1.0,0.715
24,1.0,0.711
25,0.998,0.721
26,0.99,0.747
27,0.978,0.781
28,0.962,0.815
29,0.94,0.842
30,0.913,0.856
31,0.882,0.857
32,0.852,0.85
33,0.827,0.841
34,0.811,0.834
35,0.807,0.833
36,0.811,0.837
37,0.816,0.84
38,0.817,0.839
39,0.807,0.831
40,0.784,0.812
41,0.749,0.783
42,0.705,0.743
43,0.656,0.694
44,0.602,0.634
45,0.549,0.568
46,0.5,0.504
47,0.46,0.451
48,0.435,0.414
49,0.427,0.401
50,0.431,0.405
51,0.439,0.415
52,0.442,0.42
53,0.43,0.408
54,0.4,0.373
55,0.356,0.322
56,0.304,0.261
57,0.251,0.199
58,0.202,0.143
59,0.161,0.098
60,0.129,0.063
61,0.106,0.038
62,0.091,0.023
63,0.086,0.016
64,0.087,0.017
65,0.09,0.02
66,0.092,0.022
67,0.089,0.02
68,0.077,0.011
69,0.06,-0.0
70,0.04,0.0
71,0.022,0.0
72,0.008,0.006
73,-0.0,0.035
74,0.0,0.073
75,0.0,0.11
76,0.0,0.138
77,0.001,0.151
78,0.001,0.149
79,0.001,0.142
80,0.001,0.137
81,0.0,0.144
82,0.0,0.17
83,0.001,0.215
84,0.005,0.278
85,0.012,0.355
86,0.024,0.443
87,0.041,0.539
88,0.059,0.634
89,0.078,0.719
90,0.094,0.784
91,0.103,0.819
92,0.107,0.827
93,0.106,0.818
94,0.103,0.806
95,0.1,0.805
96,0.1,0.825
97,0.102,0.865
98,0.105,0.914
99,0.108,0.962
100,0.111,1.0
